Orsay,91,91471,48.7004093953,2.18737051177
Thomery,77,77463,48.4042073432,2.77997290314
Gretz-Armainvilliers,77,77215,48.7495328893,2.72623578521
Versailles,78,78646,48.8025669671,2.11789297191
Saint-Denis-lès-Rebais,77,77406,48.845087486,3.19932466379
Vitry-sur-Seine,94,94081,48.7882828307,2.39412680533
Saint-Sauveur-lès-Bray,77,77434,48.4379889484,3.20463281198
Issou,78,78314,48.9869955946,1.7891449839
Goussonville,78,78281,48.9235015144,1.76677229339
Milon-la-Chapelle,78,78406,48.7284642837,2.04661853944
Achères-la-Forêt,77,77001,48.348528561,2.56456686676
Orcemont,78,78464,48.5968578246,1.80955275599
Ville-Saint-Jacques,77,77516,48.3445385787,2.89832891808
Pécy,77,77357,48.6467079831,3.07507507912
Voulangis,77,77529,48.8403121801,2.88971628574
Colombes,92,92025,48.9225179147,2.24675160629
Saint-Maurice-Montcouronne,91,91568,48.5789512305,2.12082584197
Persan,95,95487,49.1497441715,2.26978393249
Quiers,77,77381,48.6142332217,2.96159846336
Chaufour-lès-Bonnières,78,78147,49.0158393703,1.48536401441
Antony,92,92002,48.7503412602,2.2993268102
Guillerval,91,91294,48.368305642,2.07601234971
Sannois,95,95582,48.9717773111,2.25299514112
Voinsles,77,77527,48.6812171201,3.01742252986
Melz-sur-Seine,77,77289,48.5040892203,3.39694181186
Freneuse,78,78255,49.0495054013,1.61035317023
Aubergenville,78,78029,48.9626916321,1.84870251916
Pré-Saint-Gervais (le),93,93061,48.8846734877,2.40542232961
Vaux-sur-Seine,78,78638,49.0095815158,1.97449626486
Bussy-Saint-Martin,77,77059,48.8462454012,2.67900406868
Ezanville,95,95229,49.038600379,2.36269120289
Chennevières-lès-Louvres,95,95154,49.0420924353,2.54653894777
Marcq,78,78364,48.8642310591,1.82382085659
Aulnoy,77,77013,48.8488670481,3.08940930217
Sainte-Aulde,77,77401,49.0030713082,3.1746031904
Chenou,77,77110,48.1650303616,2.65274445287
Auffargis,78,78030,48.6842952632,1.90243823035
Voulx,77,77531,48.2852061062,2.96998252338
Bessancourt,95,95060,49.0373082647,2.19851000707
Bonneuil-en-France,95,95088,48.9651461518,2.43492885419
Longnes,78,78346,48.9228573814,1.57947128882
Andelu,78,78013,48.8882282833,1.81107773324
Houssaye-en-Brie (la),77,77229,48.756188625,2.86795216078
Chevrainvilliers,77,77112,48.2459789311,2.60246070694
Vaucresson,92,92076,48.8410515899,2.16026455161
Poigny-la-Forêt,78,78497,48.6829262881,1.75440035013
Beauchery-Saint-Martin,77,77026,48.6022245541,3.42081185296
Armentières-en-Brie,77,77008,48.9805568845,3.01556654649
Bazemont,78,78049,48.9318976597,1.87410045764
Mortcerf,77,77318,48.7828938577,2.90546822956
Boulogne-Billancourt,92,92012,48.8365843138,2.23913599058
Châtillon,92,92020,48.8034091756,2.28799131883
Luisetaines,77,77263,48.4610681499,3.18563257802
Fontainebleau,77,77186,48.4066856508,2.68031396389
Béhoust,78,78053,48.8324001775,1.72423748749
Plessis-Trévise (le),94,94059,48.8060154583,2.57619846918
Haute-Isle,95,95301,49.0827306409,1.66281760836
Toussus-le-Noble,78,78620,48.7466272252,2.1179056339
Fourqueux,78,78251,48.8853336012,2.05562938511
Clamart,92,92023,48.7964306792,2.25474652922
Bréau,77,77052,48.5575023659,2.87972860182
Boinvilliers,78,78072,48.9204900199,1.66289347528
Saint-Brice-sous-Forêt,95,95539,49.0019033624,2.35030688962
Fontenailles,77,77191,48.5324483364,2.92730889492
Obsonville,77,77342,48.2165551692,2.56864950435
Mériel,95,95392,49.0771587262,2.21325051405
Chalo-Saint-Mars,91,91130,48.4167324924,2.05158821673
Chapelle-Moutils (la),77,77093,48.7774367045,3.38271618157
Bagnolet,93,93006,48.8690836308,2.42274096688
Saulx-Marchais,78,78588,48.8461753929,1.83624882514
Clichy,92,92024,48.9035359139,2.30575230452
Saint-Jean-les-Deux-Jumeaux,77,77415,48.9387834694,3.02695540228
Vallangoujard,95,95627,49.1340749867,2.10393344842
Brie-Comte-Robert,77,77053,48.6920490316,2.6140606052
Villebéon,77,77500,48.2049138912,2.92837301126
Croissy-Beaubourg,77,77146,48.8167092612,2.65547869791
Saint-Ange-le-Viel,77,77399,48.2723686746,2.90471445471
Pussay,91,91511,48.3501390368,1.99758393379
Saint-Gervais,95,95554,49.1669076657,1.76166350491
Saint-Ouen-en-Brie,77,77428,48.56560984,2.9198513048
Bailly,78,78043,48.8366896896,2.08067809572
Lieusaint,77,77251,48.6259910244,2.54994732668
Villette,78,78677,48.9262788706,1.69374172457
Crèvecoeur-en-Brie,77,77144,48.7560531013,2.90716174383
Vieille-Eglise-en-Yvelines,78,78655,48.669743712,1.87479828191
Mons-en-Montois,77,77298,48.4912312558,3.13957041829
Roche-Guyon (la),95,95523,49.0874855412,1.63442620987
Tremblay-sur-Mauldre (le),78,78623,48.7834999157,1.878022372
Plessis-l'Evêque (le),77,77366,49.0072248611,2.79558517777
Valenton,94,94074,48.752872402,2.46129479573
Ballainvilliers,91,91044,48.6713240802,2.28913874502
